firm	ano	state	industry
3134306	2005	SP	52140
2354805	2007	SP	52248
2354697	2006	SP	52159
2354716	2010	SP	55220
2354707	2005	SP	52493
7725883	2005	PR	52493
2354808	2007	SP	60267
2354751	2009	SP	45500
2354641	2006	SP	70327
2354759	2006	SP	52710
2354799	2009	SP	52442
3134303	2006	SP	71404
2354831	2006	SP	29297
2354621	2005	SP	74993
3134308	2005	SP	52477
2354679	2008	SP	64114
2354779	2007	SP	74209
6831677	2007	SP	63401
2354813	2008	SP	52442
2354821	2007	SP	51691
2354740	2005	SP	74993
2354749	2008	SP	55212
2354675	2005	SP	51349
2354750	2006	SP	52795
2354747	2009	SP	60267
2354727	2008	SP	85316
3134316	2006	SP	18120
2354687	2007	SP	25194
2354730	2005	SP	85111
6930120	2007	SP	85154
2354702	2009	SP	52442
2354775	2010	SP	50300
6858251	2005	SP	52442
2354736	2010	SP	85154
7351720	2006	SP	26301
4844149	2005	SP	52329
8193796	2008	SP	50202
2354629	2005	SP	74500
2354648	2009	SP	50300
2354624	2010	SP	74209
2354730	2007	SP	85111
573309	2009	MG	95001
3658296	2010	SP	93017
2354647	2005	SP	93017
2354749	2009	SP	55212
3134307	2009	SP	
2354686	2006	SP	52310
2354796	2009	SP	74993
2354664	2005	SP	80152
2354811	2008	SP	15814
3134309	2008	SP	29297
5790315	2005	SP	63215
3720235	2005	SP	67202
2354792	2010	SP	50300
2354734	2007	SP	80993
2354657	2006	SP	74705
2354708	2008	SP	26301
2354831	2005	SP	29297
2354692	2008	SP	52450
6872889	2006	SP	52299
8200091	2008	SP	74110
2354745	2009	SP	67199
2354803	2008	SP	52418
6738616	2005	SP	52442
2354634	2008	SP	74993
7173866	2006	SP	52710
2354757	2008	SP	80993
2354765	2010	SP	50415
2354685	2005	SP	52493
2354718	2008	SP	72214
2354803	2006	SP	52418
2354714	2010	SP	33103
6800880	2006	SP	52493
2354754	2008	SP	52493
292346	2006	DF	45217
2354811	2010	SP	52132
2354831	2007	SP	29297
6824007	2007	SP	52450
2354800	2009	SP	50202
2354701	2005	SP	50300
3134317	2009	SP	52493
5296083	2005	SP	74500
2354809	2005	SP	52230
2354646	2007	SP	80993
2354715	2007	SP	60267
2354791	2010	SP	52493
2354778	2008	SP	45217
2354726	2006	SP	70327
2354677	2006	SP	55220
6781081	2008	SP	52450
2354824	2010	SP	52426
6738612	2005	SP	74993
2354778	2009	SP	45217
2354754	2009	SP	52493
3134317	2005	SP	92614
2354697	2008	SP	52159
2354749	2010	SP	55212
7683192	2006	SP	52493
2354679	2007	SP	64114
2354724	2010	SP	52493
3134301	2005	SP	63215
2354707	2008	SP	52426
2354634	2010	SP	74993
2354798	2006	SP	55220
2354715	2009	SP	60267
6781079	2005	SP	52698
2354745	2007	SP	67199
2354799	2008	SP	52442
2354798	2008	SP	55220
2354693	2006	SP	92614
292349	2006	DF	50504
6768055	2005	SP	52493
2354757	2005	SP	80993
2354799	2006	SP	52442
7238652	2006	MG	1619
2354796	2010	SP	74993
5297281	2007	SP	80144
292324	2005	DF	52493
2354645	2010	SP	52710
2354685	2009	SP	52493
292327	2007	DF	55212
2354640	2007	SP	50300
573309	2006	MG	95001
2354833	2007	SP	33103
2354687	2008	SP	25194
2354731	2009	SP	80993
3658301	2010	SP	51551
2354764	2007	SP	21415
2354660	2005	SP	93041
2354823	2009	SP	52442
3134312	2010	SP	52493
2354763	2005	SP	52469
2354647	2009	SP	93017
2354688	2008	SP	18120
